id,edad,educacion,tipo_empleo,ingreso_mensual_mxn,gasto_fijo_mxn,gasto_variable_mxn,ahorro_mensual_mxn,porcentaje_ahorro,deuda_total_mxn,uso_tarjeta_credito_pct,score_financiero,fecha_generacion,ingreso_mensual_bracket
user_127,58,Licenciatura,Empleado formal,6678.34,3277.84,1965.6,2198.31,32.92,0.0,69.98,53.87,2025-11-26,<8k
user_128,22,Licenciatura,Empleado formal,8987.51,2625.57,2456.73,4856.49,54.04,0.0,36.28,80.59,2025-11-26,8k-15k
user_129,53,Secundaria,Empleado formal,14324.92,8286.76,2323.46,5147.31,35.93,14360.46,3.75,68.64,2025-11-26,8k-15k
user_130,30,Licenciatura,Freelance/Independiente,9391.56,2943.45,776.98,5220.13,55.58,8412.73,0.0,87.45,2025-11-26,8k-15k
user_131,69,Secundaria,Empleado formal,4512.18,2111.54,900.13,2912.62,64.55,0.0,41.46,73.46,2025-11-26,<8k
user_132,34,Licenciatura,Desempleado,14016.55,4596.54,1332.47,7910.44,56.44,9002.56,74.26,76.9,2025-11-26,8k-15k
user_133,43,Secundaria,Empleado formal,6351.13,2270.69,2424.02,1360.19,21.42,6950.83,73.86,73.18,2025-11-26,<8k
user_134,69,Secundaria,Freelance/Independiente,18611.12,8212.35,4025.77,6536.54,35.12,4052.68,43.33,65.71,2025-11-26,15k-30k
user_135,61,Preparatoria,Freelance/Independiente,7019.19,2779.72,1130.38,2818.06,40.15,373.8,100.27,66.08,2025-11-26,<8k
user_136,69,Licenciatura,Empleado formal,39535.49,12100.98,12580.45,15053.58,38.08,0.0,36.86,70.21,2025-11-26,30k-60k
user_137,37,Posgrado,Empleado formal,7721.18,2392.24,1731.72,2937.18,38.04,0.0,35.84,55.48,2025-11-26,<8k
user_138,56,Secundaria,Empleado formal,10663.23,4226.38,1690.25,4627.22,43.39,0.0,0.0,75.8,2025-11-26,8k-15k
user_139,50,Secundaria,Empleado formal,23610.86,12160.75,7890.48,4202.42,17.8,0.0,26.58,58.39,2025-11-26,15k-30k
user_140,47,Preparatoria,Empleado formal,5644.26,3184.99,1995.26,435.48,7.72,0.0,65.56,45.49,2025-11-26,<8k
user_141,33,Licenciatura,Empleado formal,15665.59,4377.67,4473.35,6885.37,43.95,0.0,86.92,57.09,2025-11-26,15k-30k
user_142,24,Preparatoria,Empleado formal,33356.23,12928.42,2216.11,18449.33,55.31,2434.44,15.09,81.0,2025-11-26,30k-60k
user_143,47,Preparatoria,Empleado formal,4336.23,1236.2,1076.31,2609.05,60.17,14079.9,53.87,67.83,2025-11-26,<8k
user_144,19,Licenciatura,Empleado formal,15202.93,3889.02,4821.66,5664.64,37.26,453.54,71.41,76.42,2025-11-26,15k-30k
user_145,29,Preparatoria,Empleado formal,16025.2,7717.76,1566.88,7032.82,43.89,0.0,40.34,68.71,2025-11-26,15k-30k
user_146,60,Preparatoria,Empleado formal,23092.8,10642.49,3002.87,9313.37,40.33,3348.53,0.0,61.6,2025-11-26,15k-30k
user_147,57,Preparatoria,Freelance/Independiente,5620.27,1725.74,2016.96,1960.89,34.89,0.0,47.42,59.11,2025-11-26,<8k
user_148,18,Licenciatura,Freelance/Independiente,5301.16,1759.11,302.39,3769.64,71.11,1796.08,62.84,77.32,2025-11-26,<8k
user_149,20,Posgrado,Desempleado,19251.79,4972.69,6034.56,7647.45,39.72,0.0,11.58,85.59,2025-11-26,15k-30k
user_150,25,Licenciatura,Empleado formal,16446.85,8918.0,3549.57,3472.96,21.12,2251.41,32.38,51.13,2025-11-26,15k-30k
user_151,43,Preparatoria,Empleado formal,15920.22,9411.11,3285.46,2255.94,14.17,27615.77,5.34,55.7,2025-11-26,15k-30k
user_152,57,Preparatoria,Empleado formal,17026.29,5063.8,893.6,10794.31,63.4,4693.21,0.0,77.93,2025-11-26,15k-30k
user_153,28,Secundaria,Empleado formal,8299.77,2747.36,2795.27,3422.36,41.23,0.0,70.81,67.03,2025-11-26,8k-15k
user_154,38,Licenciatura,Freelance/Independiente,15718.25,8707.02,2765.45,4185.49,26.63,5696.38,39.89,55.67,2025-11-26,15k-30k
user_155,22,Licenciatura,Empleado formal,16401.87,9418.98,3924.44,2388.39,14.56,6217.68,87.93,40.51,2025-11-26,15k-30k
user_156,57,Posgrado,Freelance/Independiente,8102.71,3215.72,2325.93,2318.22,28.61,0.0,65.72,56.37,2025-11-26,8k-15k
user_157,43,Preparatoria,Freelance/Independiente,49317.89,13203.28,14594.17,20776.51,42.13,2028.61,29.37,66.03,2025-11-26,30k-60k
user_158,38,Licenciatura,Pensionado,18614.26,4910.2,7158.91,5982.56,32.14,3641.6,37.5,58.17,2025-11-26,15k-30k
user_159,26,Licenciatura,Empleado formal,5802.75,2616.36,1369.27,2011.53,34.67,11946.15,56.99,57.82,2025-11-26,<8k
user_160,34,Preparatoria,Empleado formal,21154.07,8197.48,4017.2,8352.45,39.48,11515.92,69.01,71.12,2025-11-26,15k-30k
user_161,54,Licenciatura,Empleado formal,6752.87,1755.94,2591.73,2961.52,43.86,2233.94,49.68,64.72,2025-11-26,<8k
user_162,68,Posgrado,Empleado formal,23178.01,10526.02,6367.89,6248.54,26.96,7490.66,73.17,48.22,2025-11-26,15k-30k
user_163,68,Posgrado,Desempleado,30061.99,7634.42,4640.15,17830.22,59.31,2360.19,31.1,73.31,2025-11-26,30k-60k
user_164,19,Licenciatura,Empleado formal,7521.51,3953.16,709.0,2720.16,36.17,3104.61,10.09,67.45,2025-11-26,<8k
user_165,68,Secundaria,Empleado formal,26222.24,9367.93,9043.9,8196.83,31.26,1688.8,38.06,52.47,2025-11-26,15k-30k
user_166,64,Licenciatura,Empleado formal,17835.51,4710.19,3152.67,10364.23,58.11,2397.13,46.16,85.82,2025-11-26,15k-30k
user_167,57,Licenciatura,Empleado formal,23752.48,10829.31,6678.35,6412.35,27.0,14907.15,3.95,69.17,2025-11-26,15k-30k
user_168,45,Preparatoria,Empleado formal,50400.44,19615.32,10825.3,20242.21,40.16,0.0,0.0,80.09,2025-11-26,30k-60k
user_169,44,Secundaria,Empleado formal,11251.18,6647.54,1345.93,3151.67,28.01,3506.38,53.42,61.4,2025-11-26,8k-15k
user_170,57,Secundaria,Freelance/Independiente,7882.38,3471.95,2054.07,2627.46,33.33,0.0,27.81,49.23,2025-11-26,<8k
user_171,18,Secundaria,Pensionado,7167.7,2482.42,510.62,4005.72,55.89,0.0,35.02,85.19,2025-11-26,<8k
user_172,63,Licenciatura,Empleado formal,7547.21,3760.8,1469.21,2318.32,30.72,0.0,29.21,56.39,2025-11-26,<8k
user_173,28,Preparatoria,Empleado formal,12657.8,4367.22,3054.52,5098.74,40.28,1102.16,85.62,56.1,2025-11-26,8k-15k
user_174,56,Secundaria,Empleado formal,16963.28,9609.45,3437.04,3688.18,21.74,0.0,77.85,54.18,2025-11-26,15k-30k
user_175,35,Preparatoria,Freelance/Independiente,16214.86,6180.34,5059.61,4630.35,28.56,1781.09,2.88,73.64,2025-11-26,15k-30k
user_176,44,Preparatoria,Empleado formal,23837.81,10547.13,8099.46,5425.07,22.76,3281.3,24.02,66.35,2025-11-26,15k-30k
user_177,64,Secundaria,Desempleado,13481.87,3609.1,4313.32,6214.75,46.1,0.0,65.5,72.84,2025-11-26,8k-15k
user_178,27,Secundaria,Empleado formal,36955.65,14750.57,2349.81,20440.82,55.31,0.0,58.06,69.67,2025-11-26,30k-60k
user_179,53,Secundaria,Empleado formal,11100.44,6008.97,1309.24,3153.95,28.41,1847.44,38.76,58.03,2025-11-26,8k-15k
user_180,38,Licenciatura,Empleado formal,89690.35,47713.21,21329.5,21292.24,23.74,3270.99,5.87,63.7,2025-11-26,>60k
user_181,45,Secundaria,Pensionado,20701.62,6800.72,7808.4,5933.42,28.66,12346.89,19.52,61.46,2025-11-26,15k-30k
user_182,18,Licenciatura,Empleado formal,7331.9,2413.13,2509.23,2709.91,36.96,4056.45,24.5,72.24,2025-11-26,<8k
user_183,31,Secundaria,Empleado formal,6313.06,3384.16,2177.29,298.5,4.73,1347.06,48.31,53.34,2025-11-26,<8k
user_184,37,Secundaria,Empleado formal,18727.17,10780.1,2923.74,5094.32,27.2,4811.7,91.11,58.62,2025-11-26,15k-30k
user_185,69,Preparatoria,Empleado formal,11425.19,3237.63,2288.54,6055.88,53.0,23134.0,19.39,56.84,2025-11-26,8k-15k
user_186,26,Secundaria,Empleado formal,22022.07,8974.45,4729.18,7576.14,34.4,8955.72,9.22,67.17,2025-11-26,15k-30k
user_187,62,Secundaria,Freelance/Independiente,18606.5,6849.22,1955.17,10106.24,54.32,5750.44,36.74,72.72,2025-11-26,15k-30k
user_188,44,Preparatoria,Desempleado,12695.71,7042.83,772.84,5553.01,43.74,0.0,70.95,65.95,2025-11-26,8k-15k
user_189,66,Preparatoria,Desempleado,7385.28,2062.22,2816.86,2418.88,32.75,16780.03,0.0,61.05,2025-11-26,<8k
user_190,69,Licenciatura,Empleado formal,4626.74,1498.57,621.14,3187.11,68.88,10837.33,83.61,66.76,2025-11-26,<8k
user_191,21,Secundaria,Empleado formal,9773.59,5017.41,1309.49,3351.84,34.29,5884.71,34.84,66.89,2025-11-26,8k-15k
user_192,54,Licenciatura,Empleado formal,24330.33,6519.38,1926.54,16309.2,67.03,0.0,17.97,79.22,2025-11-26,15k-30k
user_193,35,Licenciatura,Empleado formal,15519.7,6555.33,5819.54,2035.55,13.12,814.05,0.0,60.58,2025-11-26,15k-30k
user_194,48,Licenciatura,Freelance/Independiente,5585.8,2260.78,1412.69,3121.72,55.89,0.0,61.2,67.13,2025-11-26,<8k
user_195,66,Preparatoria,Empleado formal,15081.54,5535.53,4275.06,6018.68,39.91,0.0,34.86,76.38,2025-11-26,15k-30k
user_196,56,Licenciatura,Desempleado,17495.91,6790.17,6456.9,4106.53,23.47,0.0,45.12,64.23,2025-11-26,15k-30k
user_197,27,Secundaria,Freelance/Independiente,7196.14,3133.77,1230.3,1846.03,25.65,1552.01,12.98,63.6,2025-11-26,<8k
user_198,26,Secundaria,Empleado formal,14877.53,4559.64,3980.15,6481.75,43.57,0.0,30.43,67.25,2025-11-26,8k-15k
